activityID	activity	allocation	date	loginUser_id	year_id	compID_id	currency_id	projectID_id	subcompID_id
1	1.1   Design, Supply, Installation and maintenance of Solar PV Plant and storage	506740.00	2024-06-27 12:50:45.4352690 +00:00	5	18	1	4	D309& D6530 -GM	1
2	2.1.1 Phase 1 of GBA T&D modernization	3104.87	2024-06-27 13:00:39.4478130 +00:00	5	18	2	4	D309& D6530 -GM	3
3	Supply and Installation of 300 sq.mm underground cable (NAWEC Switching Station / Brikama)	34070.00	2024-06-27 13:08:47.7369160 +00:00	5	18	2	2	D309& D6530 -GM	25
4	Phase 2 of GBA T&D modernization (primary and secondary substations)	1409.83	2024-06-27 13:12:42.0534090 +00:00	5	18	2	2	D309& D6530 -GM	4
5	Phase 2 MV backbones  (URR & NUIMI-JOKADOU)	13634.53	2024-06-27 13:14:06.7279330 +00:00	5	18	2	2	D309& D6530 -GM	5
6	Phase 3 MV backbones  (CRR & URR)	7127.48	2024-06-27 13:15:08.8906650 +00:00	5	18	2	2	D309& D6530 -GM	5
7	Supply and Replacement of Street Lights	100.32	2024-06-27 13:17:08.5107170 +00:00	5	18	2	2	D309& D6530 -GM	6
8	Loss reduction Strategy	515.71	2024-06-27 13:18:12.8197940 +00:00	5	18	2	2	D309& D6530 -GM	6
9	Preparation studies (energy audit, project scoping, preparation of RFB etc.)	600000.00	2024-06-27 13:19:27.8354260 +00:00	5	18	2	2	D309& D6530 -GM	6
10	Street light bulb replacement	200000.00	2024-06-27 13:20:24.1977050 +00:00	5	18	2	2	D309& D6530 -GM	6
11	Public buildings retrofitting	500000.00	2024-06-27 13:21:24.0967960 +00:00	5	18	2	2	D309& D6530 -GM	6
12	Implementation of Energy Efficiency strategic program	500000.00	2024-06-27 13:22:09.3397550 +00:00	5	18	2	2	D309& D6530 -GM	6
13	Service Contractor (AZOROM)	1438.46	2024-06-27 13:23:06.7822610 +00:00	5	17	3	2	D309& D6530 -GM	7
14	Design, Supply and Installation of Intergrated Management System for NAWEC (INDRA)	139280.00	2024-06-27 13:24:10.7197470 +00:00	5	18	3	2	D309& D6530 -GM	8
15	Communication and PR Activities	190000.00	2024-06-27 13:25:34.8781260 +00:00	5	18	3	2	D309& D6530 -GM	9
16	Projects & planning energy efficient office	800000.00	2024-06-27 13:26:08.4950970 +00:00	5	18	3	2	D309& D6530 -GM	9
17	Improving OHS practices: Procurement of PPE for NAWEC	172580.00	2024-06-27 13:27:00.8165060 +00:00	5	18	3	2	D309& D6530 -GM	9
18	Upgrades to customer service centers	56290.00	2024-06-27 13:27:50.5891170 +00:00	5	18	3	2	D309& D6530 -GM	9
19	Customer Call Center	490000.00	2024-06-27 13:28:38.8721200 +00:00	5	18	3	2	D309& D6530 -GM	9
20	Rebranding	76340.00	2024-06-27 13:29:16.4452430 +00:00	5	18	3	2	D309& D6530 -GM	9
21	Additional water activities to be determined during project implementation	200000.00	2024-06-27 13:29:47.3686080 +00:00	5	18	3	2	D309& D6530 -GM	9
22	Capacity Building	502000.00	2024-06-27 13:31:10.6293410 +00:00	5	18	3	2	D309& D6530 -GM	9
23	Project Retreat	79520.00	2024-06-27 13:32:03.3322470 +00:00	5	18	3	2	D309& D6530 -GM	9
24	Grid code to support dispatch of renewable energy and imports, and set quality standards	216580.00	2024-06-27 13:35:00.5069930 +00:00	5	18	3	2	D309& D6530 -GM	10
25	Auditor for the monitoring and validation of the NAWEC Performance Contract	197180.00	2024-06-27 13:35:48.6659860 +00:00	5	18	3	2	D309& D6530 -GM	10
26	Support to the MoPE to develop an electrification policy	65070.00	2024-06-27 13:37:28.9098660 +00:00	5	18	3	2	D309& D6530 -GM	11
27	Studies required to scale up renewables and crowd-in private sector investment	800000.00	2024-06-27 13:38:10.0700220 +00:00	5	18	3	2	D309& D6530 -GM	11
28	Gender gap assessment in the water and energy sectors	300000.00	2024-06-27 13:39:32.8316410 +00:00	5	18	3	2	D309& D6530 -GM	12
29	Cost benefit analysis on the options to structure the water and energy businesses	300000.00	2024-06-27 13:40:25.9173220 +00:00	5	18	3	2	D309& D6530 -GM	12
30	Owners Engineer for water business	250000.00	2024-06-27 13:42:42.4405590 +00:00	5	18	3	2	D309& D6530 -GM	12
31	Water studies (Kotu waste water, FSM, feasibility studies etc.)	241170.00	2024-06-27 13:43:44.9215500 +00:00	5	18	3	2	D309& D6530 -GM	12
32	RAP Implementation Support - GBA transmission & distribution network	121800.00	2024-06-27 13:46:55.6609180 +00:00	5	18	3	2	D309& D6530 -GM	14
33	Reafforestation - DOF	38030.00	2024-06-27 13:48:37.4021070 +00:00	5	18	3	2	D309& D6530 -GM	11
34	RAP - Backbone phase 3	31480.00	2024-06-27 13:54:26.4894370 +00:00	5	18	3	2	D309& D6530 -GM	7
35	RAP Implementation - Backbone phase 3	50000.00	2024-06-27 13:55:58.9364600 +00:00	5	18	3	2	D309& D6530 -GM	7
36	Grievance Redress Mechanism Committee - Transport refund	12000.00	2024-06-27 13:57:51.4876000 +00:00	5	18	3	2	D309& D6530 -GM	14
37	RAP Implementation Audits for Solar PV Plant and GBA Infrastruture	125000.00	2024-06-27 13:59:15.5408830 +00:00	5	18	3	2	D309& D6530 -GM	14
38	RAP Implementation Audits for Backbone Phase I & II	75000.00	2024-06-27 14:00:37.9676130 +00:00	5	18	3	2	D309& D6530 -GM	14
39	RAP Implementation Audits for Backbone Phase III	40000.00	2024-06-27 14:01:25.3803800 +00:00	5	18	3	2	D309& D6530 -GM	14
40	ESMP Implementation Audits for Backbone Phase I & II	50000.00	2024-06-27 14:02:10.4510330 +00:00	5	18	3	2	D309& D6530 -GM	14
41	ESMP Implementation Audits for Solar & TnD	50000.00	2024-06-27 14:03:00.3736490 +00:00	5	18	3	2	D309& D6530 -GM	14
42	RAP FOR WATER	50000.00	2024-06-27 14:03:49.8037390 +00:00	5	18	3	2	D309& D6530 -GM	14
43	RAP IMPLEMENTATION WATER	50000.00	2024-06-27 14:05:00.8135860 +00:00	5	18	3	2	D309& D6530 -GM	14
44	Erection of Billboards for BB3 and Water Activities	15000.00	2024-06-27 14:07:00.2602580 +00:00	5	18	3	2	D309& D6530 -GM	14
45	Owners Engineer fees - Electricity	223870.00	2024-06-27 14:09:20.5824750 +00:00	5	18	3	2	D309& D6530 -GM	15
46	LOT I - 15,000 AMR meters - Xylem Water Solutions	1666.50	2024-06-27 14:12:03.3308100 +00:00	5	18	4	2	D309& D6530 -GM	18
47	200 prepaid meters	60000.00	2024-06-27 14:12:41.8357160 +00:00	5	18	4	2	D309& D6530 -GM	18
48	Non Revenue Water(NRW)- Studio Galli	235950.00	2024-06-27 14:13:53.2536620 +00:00	5	18	4	2	D309& D6530 -GM	18
49	Purchase of Spare: Hylands	976880.00	2024-06-27 14:14:47.4576160 +00:00	5	18	4	2	D309& D6530 -GM	18
50	Supply of NRW Measuring and Purchase of leakage, pipe and metal detection equipment (Safytherm)	110470.00	2024-06-27 14:15:36.4358110 +00:00	5	18	4	2	D309& D6530 -GM	18
51	Test Bench - Meter workshop- JV Hangzhou Liason Technology & MBH	77710.00	2024-06-27 14:16:26.1947580 +00:00	5	18	4	2	D309& D6530 -GM	18
52	Extension of tertiary network (UPVC pipes + small pipes + fittings + installation)	872000.00	2024-06-27 14:17:15.3251430 +00:00	5	18	4	2	D309& D6530 -GM	19
53	Intervention/Additional Boreholes- Lot 1 - JV Doku, General Procument & DEE	803260.00	2024-06-27 14:18:17.3177450 +00:00	5	18	4	2	D309& D6530 -GM	19
54	Intervention/Additional Boreholes- Lot 2 - Sinco Spa	1347280.00	2024-06-27 14:19:41.9438610 +00:00	5	18	4	2	D309& D6530 -GM	19
55	Rehab Storage Tanks and Improving Water Quality	4012750.00	2024-06-27 14:20:48.4975490 +00:00	5	18	4	2	D309& D6530 -GM	20
56	Energy efficiency measures for NAWEC’s water business	750000.00	2024-06-27 14:21:25.5399070 +00:00	5	18	4	2	D309& D6530 -GM	21
57	Design, Supply and Installation of Electricity Distribution Infrastructure:	50400000.00	2024-10-01 12:12:00.3439870 +00:00	5	18	7	2	ECOREAP-P164044	26
58	Consultancy services for Solener Technologies Solutions Energetiques - Owner’s engineer	1820000.00	2024-10-01 12:13:45.6802010 +00:00	5	18	8	2	ECOREAP-P164044	27
59	Project coordination support	2000000.00	2024-10-01 12:14:32.2807530 +00:00	5	18	9	2	ECOREAP-P164044	28
60	Detailed study, assistance for procurement, control and supervision of construction works for rural electrification of 146rural communities from Brikama and soma substations in the Gambia	14852777.06	2024-11-28 14:57:33.2478760 +00:00	5	18	13	2	GEAP 1	40
61	Provision of services for electrical works supervision-- WAPCOS	44405000.00	2024-11-28 14:58:48.6664170 +00:00	5	18	14	2	GEAP 1	41
62	Construction of 1 customer Service Centres complex	19082357.75	2024-11-28 15:00:02.2423180 +00:00	5	18	14	1	GEAP 1	42
