id	baseline_value	achieved_value	End_Target_Value	Percentage_progress_from_baseline	Percentage_progress_towards_end_target	Targeted_Achieved_weight	remarks	date_created	collection_frequency_id	indicator_description_id	indicator_type_id	loginUser_id	measurement_unit_id	pdo_id	project_id	project_outcome_id	project_result_id	quarter_id	year_id
100	12.25	60.76	75	396	77.31	4		2025-07-28 19:09:13.2568660 +00:00	4	6	3	3	1	8	NAWEC	39	102	6	7
101	12.25	82.36	75	572.33	111.73	4		2025-07-28 19:14:56.9407260 +00:00	4	6	3	3	1	8	NAWEC	39	102	5	7
102	20	38.4	63	92	42.79	3		2025-07-28 19:20:00.9465670 +00:00	4	5	3	3	8	8	NAWEC	39	102	5	7
103	20	42.78	63	113.9	52.98	3		2025-07-28 19:21:49.8256280 +00:00	4	5	3	3	8	8	NAWEC	39	102	6	7
104	-24	-2.52	-9.75	-89.5	150.74	6		2025-07-29 10:13:17.0519000 +00:00	4	2	3	3	1	8	NAWEC	42	105	5	7
105	-24	7.12	-7.61	-129.67	189.87	6		2025-07-29 10:17:43.6618740 +00:00	4	2	3	3	1	8	NAWEC	42	105	6	7
106	-37	20.29	-8.91	-154.84	203.95	6		2025-07-29 10:21:42.6664920 +00:00	4	3	3	3	1	8	NAWEC	42	105	6	7
107	-37	-14.65	-11.88	-60.41	88.97	6		2025-07-29 10:24:14.6839990 +00:00	4	3	3	3	1	8	NAWEC	42	105	5	7
108	1.2	0.49	1.4	-59.17	-355	6		2025-07-29 10:55:44.1408590 +00:00	4	18	3	3	1	8	NAWEC	42	105	5	7
109	1.2	0.61	1.4	-49.17	-295	6		2025-07-29 10:57:38.2790870 +00:00	4	18	3	3	1	8	NAWEC	42	105	6	7
110	40	38.5	30	15	85	5		2025-07-29 11:02:40.9349260 +00:00	4	15	3	3	1	8	NAWEC	47	110	5	7
111	40	42.36	30	-23.6	123.6	5		2025-07-29 11:05:17.1758970 +00:00	4	15	3	3	1	8	NAWEC	47	110	6	7
112	84	97	100	15.48	81.25	4		2025-07-29 11:07:48.7778300 +00:00	4	13	3	3	1	8	NAWEC	47	110	5	7
113	84	87	100	3.57	18.75	4		2025-07-29 11:09:44.0626700 +00:00	4	13	3	3	1	8	NAWEC	45	108	6	7
114	94	100	100	6.38	100	4		2025-07-29 11:10:57.5020550 +00:00	4	14	3	3	1	8	NAWEC	45	108	5	7
115	94	100	100	6.38	100	4		2025-07-29 11:12:14.1341320 +00:00	4	14	3	3	1	8	NAWEC	47	110	6	7
116	100	66.67	100	-33.33	0	3		2025-07-29 11:33:09.6829830 +00:00	4	12	3	3	10	8	NAWEC	49	112	5	7
117	100	100	100	0	0	3		2025-07-29 11:34:53.4569710 +00:00	4	12	3	3	10	8	NAWEC	49	112	6	7
118	100	100	100	0	0	3		2025-07-29 11:36:19.2094390 +00:00	4	11	3	3	10	8	NAWEC	49	112	5	7
119	100	100	100	0	0	3		2025-07-29 11:37:18.3743310 +00:00	4	11	3	3	10	8	NAWEC	49	112	6	7
120	40	60	90	50	40	3		2025-07-29 11:40:42.9833910 +00:00	4	20	3	3	1	8	NAWEC	49	112	5	7
121	40	75	90	87.5	70	3		2025-07-29 11:42:14.1630120 +00:00	4	20	3	3	1	8	NAWEC	49	112	6	7
122	100	100	100	0	0	3		2025-07-29 11:43:40.8723840 +00:00	4	21	3	3	10	8	NAWEC	49	112	5	7
123	100	100	100	0	0	3		2025-07-29 11:45:57.2444870 +00:00	4	21	3	3	1	8	NAWEC	49	112	6	7
124	45	11.39	25	168.05	-68.05	5		2025-07-29 12:11:47.5354920 +00:00	4	9	3	3	10	8	NAWEC	40	103	5	7
125	45	11.06	25	169.7	-69.7	5		2025-07-29 12:14:34.6509600 +00:00	4	9	3	3	10	8	NAWEC	40	103	6	7
126	-47	2.09	-9.75	-104.45	131.79	6		2025-07-29 17:28:14.7194830 +00:00	4	4	3	3	1	8	NAWEC	42	105	5	7
127	23	19.56	18	68.8	31.2	7		2025-07-29 17:41:04.0044170 +00:00	4	8	3	3	1	8	NAWEC	42	105	5	7
128	145	642.06	90	342.8	-903.75	6		2025-07-29 17:44:48.0669140 +00:00	4	16	3	3	1	8	NAWEC	42	105	5	7
129	23	18.04	18	99.2	0.8	7		2025-07-29 18:23:59.8748270 +00:00	4	8	3	3	1	8	NAWEC	42	105	6	7
130	-47	1.97	-7.61	-104.19	124.32	6		2025-07-30 10:09:09.9917370 +00:00	4	4	3	3	1	8	NAWEC	42	105	6	7
131	89	-178.33	80	-300.37	2970.33	7		2025-07-30 10:12:00.2913970 +00:00	4	17	3	3	1	8	NAWEC	42	105	5	7
132	89	-222.35	80	-349.83	3459.44	7		2025-07-30 10:14:16.4064970 +00:00	4	17	3	3	1	8	NAWEC	42	105	6	7
133	145	329.17	90	127.01	-334.85	6		2025-07-30 10:18:01.9938390 +00:00	4	16	3	3	10	8	NAWEC	42	105	6	7
134	4000	20194.1	5000	404.85	1619.41	4		2025-07-30 11:06:29.3035850 +00:00	4	7	3	3	7	8	NAWEC	42	105	5	7
135	4000	19862.78	5000	396.57	1586.28	4		2025-07-30 11:37:48.8811590 +00:00	4	7	3	3	7	8	NAWEC	42	105	6	7
136	75	75	75	0	0	2		2025-07-30 16:55:36.0523020 +00:00	4	22	3	3	8	8	NAWEC	42	105	5	7
137	75	75	75	0	0	2		2025-07-30 16:56:46.7708740 +00:00	4	22	3	3	8	8	NAWEC	42	105	6	7
