id	contract_value	amendments	contract_refNo	name_of_Supplier	name_of_consultant	contract_start_date	contract_end_date	duration	remarks	date	activityID_id	compID_id	currency_id	funding_source_id	loginUser_id	projectID_id	project_Category_id	subcompID_id
1	387217.97	0	Prepayment Meters- Phase 1 Lot 1	INHEMETERS	NA	2019-08-09	2019-12-31	6 months	1,000 smart meters and Lot 3: 500 MD + 500 transformer meters	2025-01-08 14:07:44.4750590 +00:00	65	2	2	5	2	D309& D6530 -GM	2	6
2	701368.65	0	Prepayment Meters- Phase 1 Lot 2	Hexing	NA	2019-07-26	2019-12-31	6 months	29,000 for HH & Lot 4: meter test bench Hexing	2025-01-08 14:11:24.3749310 +00:00	65	2	2	5	2	D309& D6530 -GM	2	6
3	450000.00	0	Prepayment Meters- MD meters	INHEMETERS	NA	2022-03-23	2022-11-30	6 months	Procurement of 500MD meters	2025-01-08 15:54:38.5605980 +00:00	66	2	2	5	2	D309& D6530 -GM	2	6
4	1499951.16	0	Electricity& Accessories-Phase 2	ZHENGZEN HEXCELL	NA	2021-07-15	2021-12-30	6 months	Prepayment electricity meters and accessories : (30,000)	2025-01-08 16:00:54.1257500 +00:00	68	2	2	5	2	D309& D6530 -GM	2	6
5	27510.00	0	-CS-INDV-Fuel Testing	SGS Senegal	NA	2021-09-22	2023-09-30	24 months	Consultant to conduct fuel testing efficiency at the generation stations	2025-01-14 10:48:05.3414340 +00:00	67	2	2	5	2	D309& D6530 -GM	2	6
6	225600.00	0	GO-DIR -STREET LIGHT	BB Electricals	NA	2018-11-13	2019-11-13	12 months	Installation 2500 LED streetlight bulbs for GBA	2025-01-14 10:55:13.0388340 +00:00	10	2	2	5	2	D309& D6530 -GM	2	6
7	379629.50	0	GO-RFQ- CABLES		GAMMA POWER LIMITED	NA	2023-01-01	2023-12-31	6 months	The Supply and Installation of 300 sq.mm underground cable between NAWEC’s new Switching Station and High Voltage substation at Brikama	2025-01-14 11:06:03.4312470 +00:00	69	2	2	5	2	D309& D6530 -GM	2	6
8	573013.88	0	GO-RFB-LOSS REDUCTION	– Inhemeters	NA	2023-07-28	2024-07-28	1 year	Establishment of a loss reduction mechanism to increase operational efficiency of the entity	2025-01-14 11:09:01.0875740 +00:00	8	2	2	5	2	D309& D6530 -GM	2	6
9	7037778.00	1	CS-CDS-AZOROM	NA	AZAROM	2019-11-01	2024-07-01	6 years	Consultancy services for management support to NAWEC	2025-01-14 11:16:24.2160510 +00:00	13	3	2	5	2	D309& D6530 -GM	2	7
10	7655531.10	1	NC-RB-IMIS	HINDRA	NA	2020-06-11	2022-03-11	26 months	Provisions for IMIS implementation support to NAWEC	2025-01-14 11:23:12.2665430 +00:00	14	3	4	5	2	D309& D6530 -GM	2	8
