id	indicator_description	baseline_value	achieved_value	End_Target_Value	percentage_achieved_vs_baseline	percentage_achieved_vs_end_target	remarks	date_created	collection_frequency_id	indicator_type_id	loginUser_id	measurement_unit_id	pdo_id	project_id	project_outcome_id	project_result_id	quarter_id	year_id
193	Nationwide transmission & distribution losses	22	19	15	86.3636363636364	126.666666666667	Not yet achieved	2025-01-16 13:45:12.9381140 +00:00	10007	15	2	31	9	D309& D6530 -GM	32	114	10025	13
194	Nationwide transmission & distribution losses	22	16	15	72.7272727272727	106.666666666667	Not yet achieved	2025-01-16 13:47:42.4266510 +00:00	10007	15	2	31	9	D309& D6530 -GM	32	114	10025	16
195	Nationwide transmission & distribution losses	22	25	15	113.636363636364	166.666666666667	Losses has drastically increased in stead of decreasing	2025-01-16 13:59:28.7789110 +00:00	10007	15	2	31	9	D309& D6530 -GM	32	114	10025	17
196	Nationwide transmission & distribution losses	22	23	15	104.545454545455	153.333333333333	This indicator may not be fully achieved given the trend over the years ( 22.9 % actual)	2025-01-16 14:21:59.6669520 +00:00	10007	15	2	31	9	D309& D6530 -GM	32	114	10025	18
197	Total System Collapses in the GBA	45	25	15	55.5555555555556	166.666666666667	There is progress towards achieving the final target	2025-01-16 14:24:09.5790930 +00:00	10007	15	2	33	9	D309& D6530 -GM	32	114	10025	13
198	Total System Collapses in the GBA	45	27	15	60	180	Although there is a reductions against the baseline , there is a slight increase against the value in 2019	2025-01-16 14:27:05.2789870 +00:00	10007	15	2	33	9	D309& D6530 -GM	32	114	10025	16
199	Total System Collapses in the GBA	45	11	15	24.4444444444444	73.3333333333333	Achieved against the final target.	2025-01-16 14:29:00.6362740 +00:00	10007	15	2	33	9	D309& D6530 -GM	32	114	10025	17
200	Total System Collapses in the GBA	45	16	15	35.5555555555556	106.666666666667	There is a rather slip on achieving this target compared to the previous year value of 11%	2025-01-16 14:31:59.8991090 +00:00	10007	15	2	33	9	D309& D6530 -GM	32	114	10025	18
201	People provided with access to improved water sources	0	0	64000	0	0	The investment is still on going	2025-01-16 14:34:07.4880100 +00:00	10009	15	2	33	9	D309& D6530 -GM	32	114	10018	13
202	People provided with access to improved water sources	0	0	64000	0	0	The Investment is still ongoing	2025-01-16 14:35:30.1412580 +00:00	10009	15	2	33	9	D309& D6530 -GM	32	114	10025	18
203	Generation dispatched from variable renewable generation (GWh)	0	0	26	0	0	The investment is still ongoing	2025-01-16 14:37:30.6833900 +00:00	10009	15	2	36	9	D309& D6530 -GM	32	114	10025	13
204	Generation dispatched from variable renewable generation	0	19	26	0	73.0769230769231	There is a great leap from the baseline value of 0 to 19.384.91 but is still below the final end target value	2025-01-16 14:41:00.4557700 +00:00	10009	15	2	36	9	D309& D6530 -GM	32	114	10025	18
205	Installed solar generation capacity	0	0	20	0	0	The investment is still on going	2025-01-16 14:45:12.0877860 +00:00	10009	11	2	39	9	D309& D6530 -GM	32	84	10025	13
206	Installed solar generation capacity	0	23	20	0	115	Achieved	2025-01-16 14:46:18.7371540 +00:00	10010	11	2	39	9	D309& D6530 -GM	32	84	10025	18
207	Transmission lines constructed or rehabilitated	0	0	17	0	0	Investment is still on going	2025-01-16 14:47:39.9441090 +00:00	10009	11	2	37	9	D309& D6530 -GM	32	85	10025	13
208	Transmission lines constructed or rehabilitated	0	0	17	0	0	There is great progress towards achieving this indicators . 98.3% completion level	2025-01-16 14:49:46.8682740 +00:00	10009	11	2	37	9	D309& D6530 -GM	32	85	10025	18
209	Transmission substations constructed or extended	0	0	1	0	0	Investment on going at 66% overall progress	2025-01-16 14:51:26.0133910 +00:00	10010	11	2	33	9	D309& D6530 -GM	32	85	10025	13
210	Transmission substations constructed or extended	0	1	1	0	100	The indicator is achieved	2025-01-16 14:52:36.6536590 +00:00	10009	11	2	33	9	D309& D6530 -GM	32	85	10025	18
211	Distribution substations constructed or extended	0	0	52	0	0	The investment is still ongon	2025-01-16 15:36:29.0706890 +00:00	10009	11	2	33	9	D309& D6530 -GM	32	85	10025	13
212	Distribution substations constructed or extended	0	0	52	0	0	On going with an overall progress of 97.97 %	2025-01-16 15:38:41.4924950 +00:00	10009	11	2	33	9	D309& D6530 -GM	32	85	10025	18
213	Number of distribution substations constructed nationwide.	0	0	60000	0	0	Investment is still ongoing	2025-01-16 15:42:36.1751140 +00:00	10009	11	2	34	9	D309& D6530 -GM	32	85	10025	13
214	Increase in transmission capacity	0	40000	60000	0	66.6666666666667	Achieved at 66.7% of the target	2025-01-16 15:44:24.3083800 +00:00	10009	11	2	34	9	D309& D6530 -GM	32	85	10025	18
215	Number of LED bulbs installed	0	0	3500	0	0	Investment is still ongoing	2025-01-16 15:46:09.1785710 +00:00	10009	11	2	33	9	D309& D6530 -GM	32	85	10025	13
216	Number of LED bulbs installed	0	2700	3500	0	77.1428571428572	77% achievement (Addendum contract prepared to conclude the installations	2025-01-16 16:10:38.8413580 +00:00	10009	11	2	33	9	D309& D6530 -GM	32	85	10025	18
217	Number of prepayment meters installed	0	0	61500	0	0	Installation yet to commence	2025-01-16 16:13:45.2866400 +00:00	10009	11	2	33	9	D309& D6530 -GM	32	85	10025	13
218	Number of prepayment meters installed	0	33216	61500	0	54.009756097561	Installation on going	2025-01-16 16:15:34.5966120 +00:00	10009	11	2	33	9	D309& D6530 -GM	32	85	10025	17
219	Number of prepayment meters installed	0	61500	61500	0	100	Achieved	2025-01-16 16:17:23.7677020 +00:00	10009	11	2	33	9	D309& D6530 -GM	32	85	10025	17
220	Number of prepayment meters installed	0	61500	61500	0	100	Achieved	2025-01-16 16:18:43.4155290 +00:00	10009	11	2	33	9	D309& D6530 -GM	32	85	10025	18
221	Completion of three strategic sanitation studies	0	0	1	0	0	No Audit conducted yet	2025-01-16 16:21:07.7187940 +00:00	10009	11	2	32	9	D309& D6530 -GM	32	85	10025	13
222	Completion of three strategic sanitation studies (Yes/No)	0	1	1	0	100	YES.	2025-01-16 16:22:50.3126140 +00:00	10009	11	2	32	9	D309& D6530 -GM	32	86	10025	18
223	Total Losses Electricity [ATC&C]	23	23	18	100	127.777777777778	This indicator is still problematic and needs to be thoroughly reviewed in terms of its measurement and other internal Technical deficiencies in the system	2025-03-06 16:34:09.4101550 +00:00	10007	11	2	31	8	NAWEC	39	102	10019	18
224	Non-Revenue Water(NRW)	40	39	30	97.5	130	There are still challenges with this indicator given that in the previous year; most of the productions sites were not metered . The situation might change in the coming months	2025-03-06 16:40:02.2515030 +00:00	10007	11	2	31	8	NAWEC	47	110	10018	18
