id	main_intervention_focus_result	target_number_of_beneficiary_settlements	location_of_investment	Latitude	Longitude	gross_floor_area_m2	contract_value	amendments	contract_refNo	name_of_contractor	name_of_consultant	contract_start_date	contract_end_date	duration	remarks	date	activityID_id	compID_id	currency_id	funding_source_id	loginUser_id	projectID_id	project_Category_id	subcompID_id
12	(a) 500 km of medium voltage (MV) lines, (b) 315 distribution substations, (c) 1200km of low voltage (LV) lines to expand grid coverage and maximize the number of new connections; and d) 51,000 last mile connection equipment, including service drops, prepaid meters, as well as ready boards for low voltage customers	292	Brikama  and Soma  Feeders	13.29068	-16.65681	3	50400000.00	0	KEI Contract	KEI Industries Limited	Solener Technologies Solutions Energetiques	2021-12-23	2023-12-31	24 months	on going	2024-10-01 12:27:27.5141610 +00:00	57	7	2	5	2	ECOREAP-P164044	2	26
14	Design, supply and construction of 11 intervention boreholes and associated infrastructure	11	Brikama	131616.9	-16	10	945006.95	0	CW-RFB-JV-Doku	Lot 1: JV DOKU GROUP, GENERAL PROCUREMENT SERVICES and TABANI ELECTRICAL COMPANY	PIU	2023-08-30	2024-10-31	15 months	on going	2024-10-01 12:44:46.9331330 +00:00	53	4	2	5	2	D309& D6530 -GM	2	19
15	Installation of a 33 /11KV Kotu Tank substation, Installation of SCADA National Control Centre at Brikama,Establishment of 225/33 KV substation	200	@Kotu @ Brikama @Jabang	13.440862	-16.703946	10849	22474250.72	1	GBA-Phase1-GM-NAWEC-153230-CW-RFB	TBEA, of China.	MAI of Spain	2021-12-24	2023-06-30	15 months	on going	2024-10-01 13:27:57.3597320 +00:00	4	2	2	5	2	D309& D6530 -GM	2	4
17	Primary and Secondary Stations and an additional Bay at OMVG Brikama Substation upgraded:	5	OMVG, Wellingara, Mile 5 & Madina substations	13.466946	-16.651979	246	5246363.07	0	GBA-SS-GM-NAWEC-187669-CW-RFB	TBEA, of China.	MAI of Spain	2022-10-11	2023-10-31	12 Months	On going	2024-10-01 13:42:21.2478200 +00:00	4	2	2	5	2	D309& D6530 -GM	2	4
19	1. Construction of 33/0.4kV Distribution network for electrification of 08 no. of villages to be fed from Brikama Substation and benefiting 9 communities (2846 consumers) 2. Construction of 30/0.4kV Distribution network for electrification of 138 no. of villages to be fed from Soma Substation and benefiting 117 communities (6659 consumers)	146	NBR, CRRN &WCR	0	0	3	12454252.40	0	AfDB-NAWEC-GEAP-CS-01	Transrail Lighting Limited, Mumbai, India (TLL)	WAPCOS Limited	2022-10-28	2024-01-28	18 months	contract extended till December 2024	2024-11-28 15:23:57.7678050 +00:00	60	13	2	2	2	GEAP 1	1002	40
20	Construction of 1 customer Service Centres complex for one  stop shop customer service infrastructure building	15	Kanifing NAWEC Office	0	0	225	19082357.75	0	NAWEC-GEAP-CW-01	JV360 and Gigo Construction	Falcon Engineering	2024-01-30	2024-10-30	9 months	Initial planned was for two building but only one was possible due to the cost	2024-11-28 15:34:19.8249950 +00:00	62	14	1	2	2	GEAP 1	1002	42
21	Design, supply and construction of 6 intervention boreholes and associated infrastructure: Lot2 6 boreholes in Provinces	5	Kembujeh , Bwian and Farafenni , Mansakonko and Saaba	13.2666667	-16.65	400	1495311.19	0	CW-RB-SINCO SPA	: SINCO   SPA	Royal HasKoning	2024-01-01	2025-03-30	15 months	Intervention Boreholes in the provinces	2025-01-14 11:49:10.2508990 +00:00	54	4	4	5	2	D309& D6530 -GM	2	19
22	Design, supply and construction of new tank infrastructure	2	Banjul and Brikama	132644.83	-151822.04	300	2273407.76	0	CW-RFB-Tanks Banjul &Brik	ASPAC International	Royal Haskoning	2024-04-11	2024-12-31	9 months	Short term Tank Rehabs for the GBA	2025-01-14 12:04:02.3011770 +00:00	55	4	2	5	2	D309& D6530 -GM	2	20
23	Design, supply and construction of new tank infrastructure	1	Kassa Kuna	13.25667	-16.69972	400	1739342.32	0	CW-RFB-Kassa Kunda	ASPAC International	Royal Haskoning	2024-04-11	2024-12-31	9 Month	Intervention Borehole in Kassa Kunda	2025-01-14 12:44:54.6611630 +00:00	55	4	2	5	2	D309& D6530 -GM	2	20
24	fencing	10	GBA	13.4544	-16.5753	110	442887973.00	0	GM-NAWEC-298163-CW-RFQ	Al Munawara Enterprise	NA	2022-09-28	2022-12-28	4	NA	2025-02-28 12:13:12.6913630 +00:00	114	4	2	5	1	D309& D6530 -GM	2	19
25	Extension of network for access to water by relocated  PAPs under the Solar Plant and T&D Line	170	Nyambi Kala Estate Brikama	13.295627	-16.63458	488000	4209909.00	0	Hydro Tech-001	Hydro Tech Engineering	PIU Engineers	2024-11-01	2025-03-31	5 months	NA	2025-03-01 10:29:05.1798590 +00:00	117	4	2	5	2	D309& D6530 -GM	2	19
