ohs_Id	date	quality_at_entry_requirement	working_environment	remarks	male	female	youth_male	youth_female	picture	date_created	Kpi_description_id	Type_of_Investment_id	district_id	loginUser_id	project_id	quarter_id	region_id	settlement_id	year_of_report_id
6	2025-04-29	wer	ewr	r	33	33	33	33		2025-04-29 19:29:34.5434290 +00:00	GEAP-PAP	GEAP-PAP	110	4	GEAP 1	10018	200	307113	15
7	2025-04-29	q	we	we	23	33	33	33		2025-04-29 20:05:01.9978890 +00:00	BB2 -HKEEP	BB2 -HKEEP	53	4	D309& D6530 -GM	10019	400	504204	16
8	2024-08-22	Compliant during working hours	Non complaint was found during the supervision	Workers have been found working without safety shoes.	5	0	5	0		2025-05-04 18:48:20.1075380 +00:00	GERMP BB2	GERMP BB2	81	21	D309& D6530 -GM	10017	600	802102	18
9	2024-08-22	Compliant during working hours	Non complaint was found during the supervision	Workers have been found working without safety shoes.	5	0	5	0		2025-05-04 18:48:42.6665580 +00:00	GERMP BB2	GERMP BB2	81	21	D309& D6530 -GM	10017	600	802102	18
10	2024-08-22	Compliant during working hours	Non complaint was found during the supervision	Workers have been found working without safety shoes.	5	0	5	0		2025-05-04 18:48:44.2318640 +00:00	GERMP BB2	GERMP BB2	81	21	D309& D6530 -GM	10017	600	802102	18
11	2024-08-22	Compliant during working hours	Non complaint was found during the supervision	Workers have been found working without safety shoes.	5	0	5	0		2025-05-04 18:53:32.0960360 +00:00	GERMP BB2	GERMP BB2	81	21	D309& D6530 -GM	10017	600	802102	18
12	2024-08-22	Compliant during working hours	Non complaint was found during the supervision	Workers have been found working without safety shoes.	5	0	5	0		2025-05-04 18:53:36.4063770 +00:00	GERMP BB2	GERMP BB2	81	21	D309& D6530 -GM	10017	600	802102	18
13	2024-08-22	Compliant during working hours	Non complaint was found during the supervision	Workers have been found working without safety shoes.	5	0	5	0		2025-05-04 18:53:37.0913070 +00:00	GERMP BB2	GERMP BB2	81	21	D309& D6530 -GM	10017	600	802102	18
14	2024-08-22	Compliant during working hours	Non complaint was found during the supervision	Workers have been found working without safety shoes.	5	0	5	0		2025-05-04 18:53:43.3517660 +00:00	GERMP BB2	GERMP BB2	81	21	D309& D6530 -GM	10017	600	802102	18
15	2024-08-22	Compliant during working hours	Non complaint was found during the supervision	Workers have been found working without safety shoes.	5	0	5	0		2025-05-04 18:53:44.0956490 +00:00	GERMP BB2	GERMP BB2	81	21	D309& D6530 -GM	10017	600	802102	18
16	2024-08-22	Compliant during working hours	Non complaint was found during the supervision	Workers have been found working without safety shoes.	5	0	5	0		2025-05-04 18:53:44.8610990 +00:00	GERMP BB2	GERMP BB2	81	21	D309& D6530 -GM	10017	600	802102	18
17	2024-08-22	Compliant during working hours	Non complaint was found during the supervision	Workers have been found working without safety shoes.	5	0	5	0		2025-05-04 18:53:45.5485430 +00:00	GERMP BB2	GERMP BB2	81	21	D309& D6530 -GM	10017	600	802102	18
18	2024-08-22	Compliant during working hours	Non complaint was found during the supervision	Workers have been found working without safety shoes.	5	0	5	0		2025-05-04 18:53:46.2601120 +00:00	GERMP BB2	GERMP BB2	81	21	D309& D6530 -GM	10017	600	802102	18
19	2024-08-22	Compliant during working hours	Non complaint was found during the supervision	Workers have been found working without safety shoes.	5	0	5	0		2025-05-04 18:53:47.0098360 +00:00	GERMP BB2	GERMP BB2	81	21	D309& D6530 -GM	10017	600	802102	18
20	2024-08-22	Compliant during working hours	Non complaint was found during the supervision	Workers have been found working without safety shoes.	5	0	5	0		2025-05-04 18:53:47.7899300 +00:00	GERMP BB2	GERMP BB2	81	21	D309& D6530 -GM	10017	600	802102	18
21	2024-08-22	Compliant during working hours	Non complaint was found during the monitoring supervision	Workers have been found working without safety shoes.	5	0	5	0		2025-05-04 18:54:21.1235200 +00:00	GERMP BB2	GERMP BB2	81	21	D309& D6530 -GM	10017	600	802102	18
22	2024-08-22	Compliant during working hours	Non complaint was found during the monitoring supervision	Workers have been found working without safety shoes.	5	0	5	0		2025-05-04 18:54:22.9183180 +00:00	GERMP BB2	GERMP BB2	81	21	D309& D6530 -GM	10017	600	802102	18
