subcompID	subcomponent	subcomponent_Description	allocation	date	compID_id	currency_id	loginUser_id	projectID_id
1	On- Grid Solar PV Plant with BESS	Installation of 20MW solar PV plant with  8 MW  BESS	28300000.00	2024-06-10 13:57:31.6636600 +00:00	1	4	5	D309& D6530 -GM
3	Sub-component 2.1.1	GBA Tranmission & Distribution Modernization - Brikama - Jabang T-Line	17000000.00	2024-06-27 12:27:20.7598520 +00:00	2	4	5	D309& D6530 -GM
4	Sub-component 2.2.1	Improved GBA quality of service	19200000.00	2024-06-27 12:28:44.4944050 +00:00	2	4	5	D309& D6530 -GM
5	Sub-component 2.3.1	Distribution backbone in the provinces	48000000.00	2024-06-27 12:29:41.8830650 +00:00	2	4	5	D309& D6530 -GM
6	Sub-component 2.4.1	Customer connections, Demand Side Management (DSM), and loss reduction activities	5700000.00	2024-06-27 12:30:44.4394230 +00:00	2	4	5	D309& D6530 -GM
7	Sub-component 3.1.1	Support for NAWEC turnaround - Service Contractor	6300000.00	2024-06-27 12:31:47.6742200 +00:00	3	4	5	D309& D6530 -GM
8	Sub-component 3.1.2	Support for NAWEC turnaround -NAWEC IMS	9400000.00	2024-06-27 12:32:50.4747720 +00:00	3	4	5	D309& D6530 -GM
9	Sub-component 3.1.3	Support for NAWEC turnaround -Others	4000000.00	2024-06-27 12:33:48.8682940 +00:00	3	4	5	D309& D6530 -GM
10	Sub-component 3.2.1	Strategic support for the energy sector	700000.00	2024-06-27 12:35:02.6889330 +00:00	3	4	5	D309& D6530 -GM
11	Sub-component 3.2.2	Strategic support for the energy sector  - MOPE	1600000.00	2024-06-27 12:35:56.0489280 +00:00	3	4	5	D309& D6530 -GM
12	Sub-component 3.2.3	Strategic support for the Water sector	1500000.00	2024-06-27 12:36:59.5354030 +00:00	3	4	5	D309& D6530 -GM
13	Sub-component 3.3.1	Project Preparation Studies	1500000.00	2024-06-27 12:37:56.8999340 +00:00	3	4	5	D309& D6530 -GM
14	Sub-component 3.3.2	Safeguards Implementation	700000.00	2024-06-27 12:38:45.8829290 +00:00	3	4	5	D309& D6530 -GM
15	Sub-component 3.3.3	Owners Engineer	2400000.00	2024-06-27 12:39:34.9701420 +00:00	3	4	5	D309& D6530 -GM
16	Sub-component 3.3.4	PIU Support	2400000.00	2024-06-27 12:40:20.3550890 +00:00	3	4	5	D309& D6530 -GM
17	Sub-component 3.3.5	Gender Activities	600000.00	2024-06-27 12:41:03.3799210 +00:00	3	4	5	D309& D6530 -GM
18	Sub-component 4.1.1	Non-revenue water NRW reduction plan	4200000.00	2024-06-27 12:41:53.1151310 +00:00	4	4	5	D309& D6530 -GM
19	Sub-component 4.2.1	New connections	3800000.00	2024-06-27 12:42:37.3351460 +00:00	4	4	5	D309& D6530 -GM
20	Sub-component 4.3.1	Rehab Storage Tanks & Improving Water Quality	2300000.00	2024-06-27 12:43:30.3319670 +00:00	4	4	5	D309& D6530 -GM
21	Sub-component 4.4.1	Energy efficiency measures for NAWEC's water Business	800000.00	2024-06-27 12:44:12.3358100 +00:00	4	4	5	D309& D6530 -GM
22	Sub-component 4.5.1	Additional Water Activities	400000.00	2024-06-27 12:45:06.5287130 +00:00	4	4	5	D309& D6530 -GM
