type_of_investment	Kpi_description	monitoring_Type_Code	date	loginUser_id	monitoring_type_id	project_id
LOT I – Procurement of AMR meters - Xylem Water Solutions	Number of AMR Meters Procured	AMR-Meters	2025-04-02 08:06:27.9542210 +00:00	5	proc	D309& D6530 -GM
Submission of As-Built Drawings	As-Built Drawings submitted	AsbuiltDraw	2025-01-30 12:25:19.6812900 +00:00	2	Tec	ECOREAP-P164044
Service Contractor (AZOROM)	Service Consultancy conducted	Azorom	2025-04-01 15:35:48.4714490 +00:00	5	Tec	D309& D6530 -GM
Bcackbone phase 1	Total compliance level	BB1 Compliance	2025-03-03 14:29:50.9702440 +00:00	2	ESS	D309& D6530 -GM
GERMP- Backbone Phase 2.2	Proper House Keeping	BB2 -HKEEP	2025-02-06 11:58:32.8117750 +00:00	19	ESS	D309& D6530 -GM
GERMP Backbone Phase 2.1	Proper use of Personal Protection Equipment	BB2 -PPE	2025-02-06 11:33:02.7784660 +00:00	19	ESS	D309& D6530 -GM
Backbone Phase 3.0	Needs specification/requirements	BB3-ER	2025-03-04 12:35:37.1173810 +00:00	2	proc	D309& D6530 -GM
Backbone Phase 3.2	No objection timeline for RFB/P	BB3-NO- RBP	2025-03-04 12:44:39.5882440 +00:00	2	proc	D309& D6530 -GM
Backbone Phase 3.1	Request for bid/proposal	BB3-RBP	2025-03-04 12:36:10.3037040 +00:00	2	proc	D309& D6530 -GM
Capacity Building ( Design of modern distribution networks)	Staff capacity built on the design and modern distribution network	CapBuiDesign	2025-01-30 12:23:21.6565880 +00:00	2	Tec	ECOREAP-P164044
capacity building ( Substation Operation & Training)	Number of staff trained on Substation Operations	CapSubstatOpe	2025-01-30 12:24:28.0530970 +00:00	2	Tec	ECOREAP-P164044
Dropout fuses/Isolators Installations	Number of dropout fuses/isolators	DropFuses	2025-01-30 12:58:54.0543980 +00:00	2	Tec	ECOREAP-P164044
Facilitate the implementation of EA recommendations (procurement of materials for short term interventions)	Implementation of EA recommendations (procurement of materials for short term interventions) implemented	EA-Recomd	2025-04-02 08:04:39.3487610 +00:00	5	Tec	D309& D6530 -GM
Design of Infrastructure	Infrastructure Design Complete	ECO-Design	2025-04-03 15:53:19.3410250 +00:00	5	Tec	ECOREAP-P164044
Installation of Infrastructure	Infrastructure installation complete	ECO-Install	2025-04-03 15:56:27.6799280 +00:00	5	Tec	ECOREAP-P164044
Joint Measurment Certification (JMC)	Number of JMCs conducted	ECO-JMC	2025-02-06 11:50:12.3856890 +00:00	19	Tec	ECOREAP-P164044
Brikama Feeder 1 &2	ESIA	ECOREAP Brik1&2	2025-02-27 13:21:06.2885420 +00:00	2	ESS	ECOREAP-P164044
Brikama Feeder Additional Communities	ESIA Conducted	ECOREAP Brik-Ad	2025-02-27 13:21:47.1350930 +00:00	2	ESS	ECOREAP-P164044
Design, Supply and Installation of Electricity Distribution Infrastructure:	Design, Supply and Distribution of electricity infrastructure complete	ECOREAP-DSI	2025-03-31 18:37:30.7303280 +00:00	5	Tec	ECOREAP-P164044
Shut- down of system along the electricity investment sites	Number of  shut-down	Eco-shutdown	2025-03-24 10:50:09.2323270 +00:00	2	Tec	ECOREAP-P164044
Procurement and Supply of Materials	Materials Supplied  and Delivered on site	ECO-Supply	2025-04-03 15:54:44.2793760 +00:00	5	proc	ECOREAP-P164044
SOMA FEEDER 1	Toolbox Training compliance	ECO-TBT	2025-02-06 13:58:02.6393950 +00:00	19	ESS	ECOREAP-P164044
Electricity Prepayment Meters Phase 1	Number of Electricity Prepayment Meters Procured	Electprepayment	2025-04-01 11:59:51.8947710 +00:00	5	proc	D309& D6530 -GM
Prepare an energy sector roadmap and masterplan	Energy sector roadmap and masterplan Prepared	E-MasterPlan	2025-04-01 16:05:42.2574130 +00:00	5	Tec	D309& D6530 -GM
Energy Meters Installations	Number of Energy Maters Installed	EmetersInstall	2025-01-30 12:11:43.4513800 +00:00	2	Tec	ECOREAP-P164044
Energy Meters 3 phase, 4X16 service cable	Number of 3 phase Energy Meter Installed	Energy Meter	2025-05-05 19:09:09.2410570 +00:00	13	Tec	ECOREAP-P164044
Procure equipment for the WBU – Generator and Excavator	Equipment for the WBU – Generator and Excavator procured	Equip-Water	2025-04-02 08:12:41.3308840 +00:00	5	proc	D309& D6530 -GM
Backbone Phase 5	Total compliance level	ESSBB5	2025-03-03 13:53:58.9736370 +00:00	2	ESS	D309& D6530 -GM
Network Extension at Nyambi Kala Estate	Total compliance	ESS-NKala	2025-03-18 13:19:15.7932530 +00:00	2	ESS	D309& D6530 -GM
Preparation and submission of Final Project Documentation	Final Project Documentation submitted	FinalDocumen	2025-01-30 12:27:56.6040170 +00:00	2	Tec	ECOREAP-P164044
Conduct Annual Audit for the 2022 financial year	Disbursement Rate	Fin-Audit	2025-04-01 15:56:13.7993080 +00:00	5	Tech	D309& D6530 -GM
Fuel Testing Consultancy Services	Fuel Testing Conducted	Fuel-Testing	2025-04-01 15:16:46.3406910 +00:00	5	Tec	D309& D6530 -GM
Intervention Boreholes Doku Group	Number of PAP's affected	G-DOKU-PAP	2025-04-12 20:14:59.5529470 +00:00	4	ESS	D309& D6530 -GM
Bush clearing	Bush clearing conducted	GEAP-Bush	2025-04-14 11:18:12.4008090 +00:00	5	Tec	GEAP 1
Civil Design	Civil Design conducted	GEAP-CivilDesig	2025-04-14 11:06:04.5114240 +00:00	5	Tec	GEAP 1
Testing & Commissioning Activities	Testing & Commissioning Activities
conducted	GEAP-Com-Test	2025-04-14 11:39:18.0082500 +00:00	5	Tec	GEAP 1
